,Review Number,Review,Opinion,review_clean,Review_Length,Clean_Feedback,Feedbacks_without_stopwords,Feedback_without_stopwords_Length
6114,237566:13,"Breakfast was very good with a choice of cereal, various breads, ham, cheese, eggs, fruit salad, juice + a selection of teas and coffee.",0.0,breakfast was very good with choice of cereal various breads ham cheese eggs fruit salad juice selection of teas and coffee,123,breakfast was very good with choice of cereal various breads ham cheese eggs fruit salad juice selection of teas and coffee,breakfast good choice cereal various breads ham cheese eggs fruit salad juice selection teas coffee,15
6115,237566:13,This hotel will definetly be my choice of hotel when we plan our next visit to Amsterdam.,0.0,this hotel will definetly be my choice of hotel when we plan our next visit to amsterdam,88,this hotel will definetly be my choice of hotel when we plan our next visit to amsterdam,hotel definetly choice hotel plan next visit amsterdam,8
6116,224783:150,"Perfect locaion, wonderful staff",0.0,perfect locaion wonderful staff,31,perfect locaion wonderful staff,perfect locaion wonderful staff,4
6117,224783:150,My husband and I just stayed at the Grand Hyatt and loved it.,0.0,my husband and just stayed at the grand hyatt and loved it,58,my husband and just stayed at the grand hyatt and loved it,husband stayed grand hyatt loved,5
6118,224783:150,We were in Seattle for a meeting at the convention center and it was right across the street.,0.0,we were in seattle for meeting at the convention center and it was right across the street,90,we were in seattle for meeting at the convention center and it was right across the street,seattle meeting convention center right across street,7
6119,224783:150,"It was the perfect location for shopping,too.",0.0,"it was the perfect location for shopping,too",44,it was the perfect location for shoppingtoo,perfect location shoppingtoo,3
6120,224783:150,Everything is right there and you are in walking distance of Pike Market Place.,0.0,everything is right there and you are in walking distance of pike market place,78,everything is right there and you are in walking distance of pike market place,everything right walking distance pike market place,7
6121,224783:150,"The hotel has a Starbucks, Ruth Chris Steakhouse and The Cheesecake Factory.",0.0,the hotel has starbucks ruth chris steakhouse and the cheesecake factory,72,the hotel has starbucks ruth chris steakhouse and the cheesecake factory,hotel starbucks ruth chris steakhouse cheesecake factory,7
6122,224783:150,Ruth Chris is also the hotels main restauraunt and bar.,0.0,ruth chris is also the hotels main restauraunt and bar,54,ruth chris is also the hotels main restauraunt and bar,ruth chris also hotels main restauraunt bar,7
6123,224783:150,"They serve breakfast, lunch and dinner there.",0.0,they serve breakfast lunch and dinner there,43,they serve breakfast lunch and dinner there,serve breakfast lunch dinner,4
6124,224783:150,The breakfast selection was terrific and of course the dinner was fabulous.,0.0,the breakfast selection was terrific and of course the dinner was fabulous,74,the breakfast selection was terrific and of course the dinner was fabulous,breakfast selection terrific course dinner fabulous,6
6125,224783:150,"We never had lunch there, but Im sure it was good also.",0.0,we never had lunch there but im sure it was good also,53,we never had lunch there but im sure it was good also,never lunch im sure good also,6
6126,224783:150,They have a great happy hour with half price appetizers from 4-6 and again from 9-11.,0.0,they have great happy hour with half price appetizers from and again from,73,they have great happy hour with half price appetizers from and again from,great happy hour half price appetizers,6
6127,224783:150,The rooms were nice and the bathrooms were great.,0.0,the rooms were nice and the bathrooms were great,48,the rooms were nice and the bathrooms were great,rooms nice bathrooms great,4
6128,224783:150,"There is a coffeemaker in the room, a nice hairdryer, iron and ironing board and a safe in the closet.",0.0,there is coffeemaker in the room nice hairdryer iron and ironing board and safe in the closet,93,there is coffeemaker in the room nice hairdryer iron and ironing board and safe in the closet,coffeemaker room nice hairdryer iron ironing board safe closet,9
6129,224783:150,Everything you need right there.,0.0,everything you need right there,31,everything you need right there,everything need right,3
6130,224783:150,"The staff was so nice and helpful, they really added to our wonderful week in Seattle.",0.0,the staff was so nice and helpful they really added to our wonderful week in seattle,84,the staff was so nice and helpful they really added to our wonderful week in seattle,staff nice helpful really added wonderful week seattle,8
